id,white_rating,black_rating,diff,winner,victory_status,num_moves,moves
XNMbvz8v,1997,1480,517,black,mate,70,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 b6 Bd3 Bc5 Nc3 Bxe3 Bxe3 d6 O-O-O Nf6 h3 Be6 Be2 Ne5 f4 Nc4 Bd4 O-O e5 Nd7 exd6 cxd6 Nf3 Qc7 Ng5 h6 Nge4 Nc5 Ng3 Rad8 f5 d5 Bf2 Qf4+ Kb1 Qxf2 fxe6 Qxg3 Nxd5 fxe6 Ne7+ Kf7 Nc6 Rxd1+ Rxd1 Ne3 Rc1 Rc8 Nd4 Qf2 Bf3 e5 Nb5 e4 Nd6+ Kf8 Bh5 Rc6 Nb5 Nd3 Rh1 Qxc2+ Ka1 Qxb2#
uSFCK1Ib,1808,1191,617,black,mate,144,e4 d5 d3 dxe4 d4 e5 d5 c6 Nc3 Ne7 dxc6 Qxd1+ Nxd1 Nexc6 Bb5 a6 Bxc6+ bxc6 Ne2 Bc5 Nec3 O-O Nxe4 Bb4+ Ndc3 f5 Nd6 Rd8 Nxf5 Bxf5 O-O Bxc2 Re1 Rd1 Nxd1 Bxe1 Kf1 Bb4 Ne3 Bd3+ Kg1 Nd7 a3 Bc5 b4 Bd4 Ra2 Nf6 Rd2 Be4 Nc4 Rf8 Bb2 Ng4 Bxd4 exd4 f3 Ne3 Rf2 Nxc4 fxe4 Rxf2 Kxf2 d3 Ke1 Nxa3 e5 Kf7 Kd2 Ke6 Kxd3 Kxe5 Kc3 Nb5+ Kc4 Nd6+ Kc5 Ne4+ Kxc6 Nc3 Kb6 Na2 Ka5 g5 Ka4 Kf4 Ka3 Nxb4 Kxb4 Ke3 Kc5 a5 Kb5 Kf2 g3 Kg2 h4 g4 Kxa5 Kxg3 h5 Kh4 h6 g3 Kb4 g2 Kc3 g1=Q Kd2 Qg5+ Ke1 Qxh6 Kf1 Qa6+ Kg1 Kh3 Kf2 h6 Kf3 h5 Kf4 Qf6+ Ke3 Kg2 Ke2 h4 Ke3 h3 Ke4 h2 Ke3 h1=Q Ke2 Qhf1+ Kd2 Qd6+ Kc2 Qfd1+ Kb2 Q6d4+ Ka2 Q4a4+ Kb2 Qdc2#
InSwV99D,1680,1048,632,black,mate,18,d4 e6 c4 Nf6 Nc3 Ng4 f3 f5 fxg4 fxg4 Bd2 Bd6 e4 O-O Qxg4 Qf6 e5 Qxf1#
62tftBDD,2267,1500,767,black,mate,166,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 exd5 Qxd5 Bxf6 Bxc3+ bxc3 gxf6 Nf3 b6 Be2 Bb7 O-O Rg8 Qd3 f5 Rfe1 Nd7 c4 Qe4 Qc3 O-O-O a4 a5 g3 c5 Rad1 cxd4 Rxd4 Qc6 Red1 Qxa4 Rd6 Nc5 Rxd8+ Rxd8 Rxd8+ Kxd8 Qf6+ Kc7 Qxf7+ Nd7 Ng5 Qa1+ Bf1 Qf6 Qg8 Nc5 Nxh7 Qd4 Ng5 a4 Qf8 Bc6 c3 Qd7 Qh8 a3 Qe5+ Kc8 Qe2 Qa7 Nxe6 Nxe6 Qxe6+ Qd7 Qe1 Qe8 Qd2 Qe4 f3 Qxf3 Qh6 Kb7 c5 b5 Qe6 Qh1+ Kf2 Qxh2+ Ke3 Qxg3+ Kd2 Qf4+ Kc2 Qxf1 Qf7+ Ka6 Qg6 Qf3 Qf6 Qg2+ Kd3 a2 c4 bxc4+ Ke3 c3 Qxc3 Qf3+ Kd2 Qxc3+ Kxc3 Kb5 Kb2 Bd5 c6 Kxc6 Ka1 f4 Kb2 f3 Ka1 f2 Kb2 f1=N Ka1 Ne3 Kb2 Nc4+ Kxa2 Kc5 Ka1 Kd4 Kb1 Kc3 Ka1 Ne3 Kb1 Nc2 Kc1 Ba2 Kd1 Nd4 Ke1 Kd3 Kf1 Ke3 Kg2 Bd5+ Kg3 Bf3 Kh4 Kf4 Kh3 Nc2 Kh4 Ne3 Kh3 Bg4+ Kh2 Kf3 Kg1 Kg3 Kh1 Kf2 Kh2 Nf1+ Kh1 Bf3#
OvpzATGs,1707,1193,514,black,mate,48,e4 e5 d4 Nf6 dxe5 Nxe4 Bd3 Nc5 Be3 Nc6 Bc4 Nxe5 Bxf7+ Kxf7 Qd5+ Kg6 Qxe5 d6 Qg3+ Kf7 Nf3 Bf5 Qf4 Qf6 c3 Nd3+ Ke2 Nxf4+ Bxf4 Qe6+ Be3 Bg4 Kf1 Re8 Ng5+ Kg6 Nxe6 Rxe6 h3 Bf5 Bxa7 b6 Kg1 d5 Bb8 Bd6 Ba7 Re1#
4MiUKjQ0,1698,1155,543,black,mate,36,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O h3 Nh5 Nf3 f5 e5 Ng3 Rg1 Nc6 Bd3 dxe5 dxe5 Nb4 Bb1 Qxd1+ Nxd1 Rd8 Nf2 Be6 b3 a5 a3 Nc6 Ng5 Nd4 Ba2 Nc2#
qTC6H6FY,1682,1015,667,black,mate,60,d4 d5 Nf3 Nf6 c4 c6 Nc3 e6 Bg5 Be7 e3 h6 Bxf6 Bxf6 cxd5 exd5 Bd3 Nd7 O-O O-O Qc2 Qc7 Rac1 b6 Qb1 c5 Nxd5 Qd6 Nxf6+ Qxf6 dxc5 Nxc5 Bh7+ Kh8 Bd3 Bg4 Nd2 Rfd8 Ne4 Nxe4 Bxe4 Rac8 Rc2 Rxc2 Qxc2 Qe6 Qc7 Rc8 Qf4 Rc4 Qb8+ Rc8 Qb7 Qxa2 Rb1 Qc4 Bd5 Qc1+ Rxc1 Rxc1#
SFZMXN39,2231,1562,669,black,mate,74,e4 e5 Nf3 Nc6 c3 Nf6 d4 exd4 e5 Nd5 cxd4 d6 Bc4 dxe5 dxe5 Bb4+ Bd2 Be6 O-O h6 Bb5 a6 Bxc6+ bxc6 Qc2 Qd7 Nd4 Bxd2 Nxd2 c5 Nxe6 fxe6 Qxc5 Rd8 Nf3 Ne7 Qc2 O-O Rfd1 Nd5 h3 Rf7 Rac1 Rdf8 Qc6 Qxc6 Rxc6 Nf4 Nd4 Rd8 Rcc1 Rfd7 Rc4 Ne2+ Nxe2 Rxd1+ Kh2 R1d2 Nf4 Rxf2 Kg3 Rdd2 Rxc7 Rxb2 a4 Rfd2 Nxe6 Rxg2+ Kh4 Rb4+ Kh5 g6+ Kxh6 Rh4#
XNMbvz8v,1997,1480,517,black,mate,70,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 b6 Bd3 Bc5 Nc3 Bxe3 Bxe3 d6 O-O-O Nf6 h3 Be6 Be2 Ne5 f4 Nc4 Bd4 O-O e5 Nd7 exd6 cxd6 Nf3 Qc7 Ng5 h6 Nge4 Nc5 Ng3 Rad8 f5 d5 Bf2 Qf4+ Kb1 Qxf2 fxe6 Qxg3 Nxd5 fxe6 Ne7+ Kf7 Nc6 Rxd1+ Rxd1 Ne3 Rc1 Rc8 Nd4 Qf2 Bf3 e5 Nb5 e4 Nd6+ Kf8 Bh5 Rc6 Nb5 Nd3 Rh1 Qxc2+ Ka1 Qxb2#
XNMbvz8v,1997,1480,517,black,mate,70,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 b6 Bd3 Bc5 Nc3 Bxe3 Bxe3 d6 O-O-O Nf6 h3 Be6 Be2 Ne5 f4 Nc4 Bd4 O-O e5 Nd7 exd6 cxd6 Nf3 Qc7 Ng5 h6 Nge4 Nc5 Ng3 Rad8 f5 d5 Bf2 Qf4+ Kb1 Qxf2 fxe6 Qxg3 Nxd5 fxe6 Ne7+ Kf7 Nc6 Rxd1+ Rxd1 Ne3 Rc1 Rc8 Nd4 Qf2 Bf3 e5 Nb5 e4 Nd6+ Kf8 Bh5 Rc6 Nb5 Nd3 Rh1 Qxc2+ Ka1 Qxb2#
